Term,Document Frequency,Postings Lists
تقوم,8,1 - 3 - 5 - 7 - 15 - 16 - 18 - 20
تقييم,1,4
تقييمها,1,19
تكاليف,3,17 - 20 - 21
تكامال,1,3
تكامل,1,20
تكبد,1,19
تكتب,1,4
تكرار,1,15
تكرارها,1,15
تكفل,1,7
تكلفة,1,19
تكملة,1,7
تكمن,1,14
تكن,1,2
تكنولوجيا,3,5 - 17 - 19
تكنولوجية,1,7
تكون,12,1 - 3 - 4 - 7 - 8 - 12 - 14 - 15 - 17 - 18 - 19 - 21
تلاه,1,11
تلبية,1,12
تلخيص,1,18
تلعب,2,3 - 15
تلق,2,1 - 3
تلقائيا,1,19
تلقائية,1,19
تلقاها,1,19
تلقت,2,1 - 3
تلو,2,1 - 3
تم,7,12 - 16 - 17 - 18 - 19 - 20 - 21
تما,1,2
تماما,4,4 - 8 - 18 - 21
تمت,3,2 - 3 - 8
تمتلك,1,8
تمثاال,2,1 - 3
تمثل,3,12 - 13 - 21
تمثيل,4,1 - 3 - 4 - 11
تمثيلية,1,3
تمر,1,14
تمكن,5,1 - 2 - 3 - 18 - 19
تمكنت,2,18 - 21
تمكين,1,15
تمنح,1,21
تمول,1,2
تمويلهما,1,2
تميز,1,7
تميزها,1,10
تمييز,1,17
تناقش,2,4 - 21
تناولتها,2,2 - 13
تنبأت,1,7
تنبؤات,1,16
تنتقل,1,19
تنتهك,1,15
تنخفض,1,6
تندرج,1,13
تنسيق,1,15
تنشط,1,10
تنص,1,20
تنطبق,2,1 - 3
تنظم,1,15
تنفيذ,3,6 - 7 - 17
تنفيذها,4,5 - 6 - 12 - 17
تنفيذي,1,21
تنقل,1,12
تنمية,2,5 - 15
تنميتها,1,15
تنوع,2,9 - 12
تهدد,1,13
تهدف,1,14
تهديدا,1,17
تواجه,3,6 - 7 - 11
توازيا,1,11
تواصل,2,10 - 19
توافر,4,11 - 12 - 13 - 19
توافق,3,3 - 16 - 21
توجد,9,3 - 4 - 5 - 8 - 12 - 13 - 14 - 17 - 20
توجه,2,10 - 15
توجيه,2,19 - 20
تورنج,1,6
تورنغ,3,2 - 4 - 18
تورنغ27,1,2
تورينج,1,17
توزيع,1,7
توسيع,2,10 - 14
توصل,1,20
توصلت,1,21
توصيات,1,16
توضح,2,8 - 13
توضيح,1,20
توظفها,1,10
توظيف,3,10 - 11 - 21
توفر,4,1 - 3 - 12 - 19
توفرها,1,19
توفير,3,5 - 11 - 19
توقع,2,4 - 20
توقعاته,2,1 - 3
توقف,1,3
تولد,2,1 - 3
توليد,1,9
توليدية,1,20
تويوتا,1,4
تيchatgpt,1,12
تيارات,1,4
تيرابايت,1,8
تيسير,1,6
تيوفو,1,13
ثالثا,1,9
ثانيا,2,10 - 11
ثانية,1,8
ثبتت,1,19
ثقيلة,1,20
ثلث,1,12
ثمانينيات,1,14
ثورة,5,3 - 7 - 15 - 16 - 17
ثورية,1,20
جآالن,1,4
جاءت,1,13
جائحة,1,19
جابر,1,4
جادل,1,14
جار,1,4
جاريا,1,18
جارية,1,14
جاك,1,12
جامعة,2,3 - 8
جامعه,2,19 - 20
جانب,6,2 - 10 - 11 - 15 - 19 - 20
جانبا,1,13
جاوس,1,4
جبل,1,14
جدا,5,4 - 13 - 14 - 20 - 21
جدال,1,2
جدل,1,2
جديد,4,2 - 13 - 15 - 16
جديد23,1,2
جديدا,1,7
جديدة,11,1 - 2 - 3 - 4 - 11 - 12 - 14 - 15 - 16 - 20 - 21
جذابة,2,4 - 10
جذور,1,4
جراء,1,16
جراى,1,3
جزء,4,13 - 19 - 20 - 21
جزءا,6,1 - 2 - 3 - 4 - 14 - 18
جسرا,1,3
جعلت,1,5
جعلك,1,18
جعلها,1,20
جماعي,1,15
جمع,1,17
جميلة,1,17
جنب,1,8
جنبا,1,8
جني,1,8
جهاز,6,1 - 3 - 4 - 17 - 18 - 19
جهة,1,20
جهتها,1,20
جهد,1,14
جهود,1,10
جهودا,1,11
جهودها,1,12
جوانب,5,1 - 3 - 15 - 18 - 20
جوجل,2,17 - 18
جودة,3,10 - 20 - 21
جورج,1,4
جون,6,1 - 2 - 3 - 4 - 8 - 18
جونز,1,3
جوهر,3,2 - 3 - 8
جوهري,2,2 - 17
جوهريا,1,4
جي,4,12 - 13 - 16 - 20
جيدا,1,21
جيفري,1,16
جيل,2,2 - 4
جيلنا,1,15
جيمس,2,2 - 14
حا,1,5
حاجة,3,1 - 3 - 19
حاسما,1,15
حاسمة,2,15 - 21
حاسوب,4,8 - 16 - 17 - 18
حاسوبي,1,2
حاسوبية,1,3
حاضرنا,1,13
حال,3,1 - 3 - 21
حالة,1,20
حالل,1,3
حاليا,8,1 - 4 - 7 - 8 - 13 - 14 - 18 - 20
حامال,1,2
حاول,1,17
حتما,1,21
حثت,1,16
حجم,5,1 - 3 - 4 - 14 - 21
حجما,2,1 - 3
حد,10,1 - 2 - 3 - 4 - 7 - 8 - 13 - 14 - 18 - 21
حدا,1,2
حدة,2,16 - 19
حدثت,1,21
حدد,1,4
حددتها,1,15
حدوث,1,4
حدود,3,2 - 4 - 5
حدودا,2,2 - 14
حديثة,1,20
حذر,1,16
حرب,1,4
حرم,1,2
حرمان,1,15
حرية,1,15
حساب,1,4
حسابي,2,4 - 20
حسابيا,1,2
حسابية,3,1 - 3 - 8
حسنا,1,18
حسية,2,1 - 3
حصول,1,20
حضورا,1,21
حظر,1,21
حقائق,1,4
حقبة,1,15
حقق,3,2 - 6 - 9
حققت,5,1 - 3 - 9 - 10 - 17
حقوق,4,4 - 13 - 15 - 20
حقول,2,17 - 20
حقيقة,2,4 - 14
حقيقي,2,3 - 17
حقيقيا,2,18 - 21
حقيقية,5,1 - 3 - 17 - 18 - 21
حقيقيين,1,20
حكومي,1,20
حل,8,1 - 2 - 3 - 4 - 6 - 16 - 20 - 21
حلقة,1,4
حلم,2,13 - 14
حلوال,1,3
حلول,3,3 - 11 - 12
حلولا,1,15
حماسته,1,7
حماية,1,7
حمل,1,21
حملت,1,18
حوار,1,15
حواسيب,2,3 - 17
حوالي,3,7 - 11 - 17
حوكمة,1,10
حول,12,1 - 2 - 3 - 6 - 7 - 8 - 15 - 16 - 18 - 19 - 20 - 21
حولك,2,1 - 3
حولنا,1,5
حوله,1,18
حولها,1,20
حولهم,1,18
حياة,1,21
حياتنا,8,1 - 12 - 13 - 14 - 15 - 17 - 20 - 21
حياتها,1,14
حياتهم,1,15
حيان,1,4
حينما,2,18 - 21
حينها,1,18
حيوان,2,1 - 3
حيوية,1,16
خادما,1,4
خارج,1,19
خارجي,1,20
خارجيا,1,18
خارق,1,4
خاص,4,12 - 14 - 18 - 19
خاصية,1,5
خاطئة,1,16
خالل,5,1 - 2 - 3 - 4 - 6
خانقا,1,18
خبراء,2,7 - 15
خبرة,3,1 - 3 - 7
خبير,2,14 - 18
خت,1,2
خدمات,1,20
خدمة,4,15 - 17 - 20 - 21
خريطة,1,4
خشية,1,21
خصائص,1,4
خصم,2,9 - 10
خصوصا,2,19 - 20
خضعت,1,4
خط,1,4
خطأ,1,21
خطة,1,15
خطته,2,1 - 3
خطرا,2,16 - 21
خطوة,6,4 - 8 - 13 - 14 - 17 - 18
خطورة,1,21
خطيرا,1,16
خفض,1,20
خفف,1,4
خلال,12,9 - 10 - 11 - 12 - 13 - 15 - 16 - 17 - 18 - 19 - 20 - 21
خلفي,1,4
خلفية,1,5
خلق,3,2 - 4 - 21
خلل,1,5
خلية,1,13
خوارز,1,4
خوارزميات,8,1 - 3 - 4 - 6 - 10 - 12 - 19 - 20
خوارزمية,1,4
خيارا,1,11
خيارات,1,19
خياراتهم,2,19 - 20
دا,3,1 - 5 - 6
دائرة,1,17
دائم,2,13 - 19
دائما,1,21
داخل,7,1 - 2 - 3 - 4 - 7 - 12 - 14
دار,1,15
دارتموث,3,2 - 8 - 18
داروين,1,4
دافع,1,4
دايسون,1,4
دخلهم,1,7
در,1,1
دراسات,1,12
دراساتنا,1,10
دراسة,6,2 - 3 - 4 - 15 - 17 - 21
درجة,1,2
دردشة,1,16
درسا,1,3
دركون,1,1
دريفوس,1,2
دعم,4,4 - 18 - 19 - 20
دعوات,1,13
دعوة,1,4
دفعة,2,7 - 13
دفعت,1,3
دفعها,1,14
دقة,2,20 - 21
دقيق,1,21
دقيقة,2,4 - 19
دمج,3,3 - 6 - 11
دمجه,1,13
دمجها,1,4
دها,1,4
دواعي,1,13
دوافعهم,2,1 - 3
دوالر,2,2 - 8
دور,6,1 - 7 - 10 - 15 - 19 - 20
دورا,2,17 - 19
دورات,1,11
دوراتهم,1,19
دورها,1,15
دوري,2,1 - 3
دوغ,1,3
دول,1,19
دولة,1,12
دولي,1,15
دولية,1,20
دونالد,1,21
دي,1,12
ديات,1,1
ديستوبيا,1,8
ديفيد,2,3 - 6
دينامية,1,4
ذاته,1,18
ذاتها,3,14 - 18 - 19
ذاتي,2,4 - 18
ذاتيا,2,4 - 13
ذاتية,6,4 - 6 - 8 - 13 - 18 - 20
ذاكرة,2,3 - 12
ذاهبا,1,18
ذروتها,1,9
ذكا,1,6
ذكاء,12,1 - 2 - 3 - 4 - 5 - 6 - 13 - 16 - 17 - 18 - 19 - 20
ذكر,4,1 - 3 - 16 - 20
ذكرت,1,18
ذكرنا,1,20
ذكرها,2,1 - 3
ذكي,4,1 - 3 - 4 - 17
ذكيا,1,4
ذكية,4,1 - 2 - 3 - 16
ذوي,2,7 - 19
رآه,1,12
رأسك,1,18
رأي,2,5 - 15
رأينا,1,21
رؤية,5,1 - 3 - 8 - 12 - 15
رؤيتها,1,13
رئيسة,1,16
رئيسي,2,4 - 15
رئيسية,1,7
رئيسيين,1,21
را,1,1
رائدا,1,17
رائدة,1,16
رائع,1,15
رائعة,1,5
راسخ,1,13
راسخة,1,12
راسل,1,3
راى,1,4
راي,2,2 - 4
ربط,2,10 - 21
ربطت,1,9
ربع,2,9 - 16
ربما,3,12 - 14 - 19
رت,1,4
رجال,1,3
رحلة,2,12 - 21
رحلتنا,1,21
رخصة,1,3
رد,1,1
رسائل,1,20
رسم,1,20
رسمي,1,15
رسميا,1,15
رصد,1,13
رصدنا,1,10
رغباتنا,1,15
رغم,3,4 - 9 - 11
رف,1,2
رفض,1,20
رفضوا,1,3
رفع,1,20
رفعت,1,20
رفه,1,2
رفيعة,1,3
رقميا,1,8
ركز,1,15
رمزي,2,1 - 3
رمزي52,1,3
رمزية,1,3
رموز,1,3
رهينة,1,20
روابط,1,20
روايتها,1,4
روبرت,1,4
روبنسون,1,4
روبوت,3,3 - 13 - 17
روبوتات,4,16 - 17 - 18 - 21
روبوتيات,1,3
روجر,2,2 - 3
روحي,1,16
رودني,2,3 - 17
روزنبالت,1,4
روسوم,1,18
روعة,1,1
روميلهارت,2,3 - 6
رياضيات,1,4
رياضية,3,2 - 3 - 4
ريتشارد,1,14
زاد,4,4 - 13 - 14 - 21
زادت,1,5
زال,1,2
زالت,1,5
زمام,1,16
زملائه,1,19
زمن,1,2
زوايا,1,1
زيادة,7,6 - 10 - 11 - 14 - 16 - 17 - 20
سألت,1,17
سؤالا,2,15 - 17
سا,1,1
سائق,1,4
سابقا,4,8 - 11 - 14 - 20
سابقة,2,18 - 20
سابقين,1,20
ساعد,1,5
ساكس,1,16
سالحف,1,3
سايبورغ,1,4
سباب,1,1
سبب,2,12 - 14
سببا,2,1 - 2
سببها,1,14
سبرانية,1,3
سبرينغر,1,4
سبل,2,5 - 16
سبوتيفاي,1,16
سبيل,12,1 - 3 - 4 - 5 - 6 - 10 - 11 - 12 - 13 - 14 - 15 - 19
ستانفورد,1,3
ستبقي,1,21
ستتضاعف,1,21
ستتطلب,1,8
ستتعلم,1,5
ستتمكن,1,18
ستزيد,1,21
ستساعد,1,19
ستشكل,1,20
ستضيف,1,20
ستظهر,1,8
ستعرض,1,1
ستفرض,1,21
ستفقد,1,21
ستقتصر,1,19
ستقوم,2,16 - 21
ستكون,5,2 - 3 - 13 - 15 - 17
ستنجم,1,20
ستندمج,1,4
ستنظم,1,15
ستواجه,1,17
ستواجهنا,1,21
ستيفن,2,8 - 14
ستينات,1,18
ستينيات,1,14
ستيوارت,1,3
سجل,1,11
سجلا,1,15
سجلت,1,9
سد,1,15
سر,1,12
سرب,1,4
سرت,1,6
سرطان,1,16
سرعة,4,15 - 17 - 19 - 20
سرعت,1,20
سريع,2,14 - 15
سريعا,1,5
سريعة,4,1 - 3 - 10 - 13
سعي,1,13
سعيا,1,7
سكانها,1,4
سلاسل,1,10
سلامة,1,21
سلسلة,3,4 - 9 - 21
سلفا,1,4
سلمي,1,21
سلوك,2,4 - 5
سلوكيات,1,21
سمات,3,1 - 3 - 4
سمته,1,14
سمحت,1,6
سمعتم,1,20
سمعنا,1,12
سميت,1,4
سن,1,5
سنا,1,7
سنة,3,4 - 8 - 18
سنتحتاج,1,7
سنتحدث,1,18
سنتطرق,1,18
سنوات,3,2 - 19 - 21
سنوي,1,20
سهول,1,19
سهولة,3,6 - 7 - 20
سواء,5,1 - 3 - 19 - 20 - 21
سوداء,1,13
سوق,3,2 - 7 - 15
سويا,1,15
سي,2,7 - 16
سيأخذنا,1,8
سيؤثر,1,7
سيؤدي,1,15
سيارة,3,4 - 13 - 20
سيارتك,1,18
سياسة,1,13
سياق,1,18
سيتعرف,1,20
سيتعلمها,1,19
سيتغلغل,1,7
سيتم,2,2 - 17
سير,3,11 - 12 - 17
سيرل,2,2 - 8
سيرى,1,8
سيري,1,20
سيستفيد,1,19
سيستمر,1,18
سيشكل,1,20
سيصعب,1,20
سيصير,1,1
سيطرتهم,1,21
سيظل,2,1 - 14
سيعقد,1,15
سيغير,2,19 - 20
سيفضي,1,7
سيفهم,1,18
سيقدم,2,19 - 20
سيقللون,1,21
سيكون,5,13 - 14 - 17 - 18 - 21
سيما,4,1 - 3 - 12 - 15
سيمون,2,2 - 3
سيناريو,1,4
سيوجد,1,20
شأنه,2,3 - 20
شأنها,6,1 - 3 - 8 - 12 - 16 - 19
شاتبوتchatbot,1,21
شامل,2,5 - 15
شاملة,4,7 - 10 - 19 - 20
شاملة95,1,4
شانك,1,3
شبح,1,4
شبكات,5,3 - 4 - 7 - 14 - 17
شبكة,4,4 - 17 - 19 - 20
شبيه,1,19
شتى,1,1
شجرة,1,4
شخص,4,8 - 15 - 17 - 20
شخصا,1,12
شديدا,1,21
شديدة,2,2 - 21
شراء,1,16
شرائح,2,7 - 11
شراع,1,3
شركائها,1,8
شركات,2,11 - 20
شركاتهم,3,10 - 11 - 12
شركة,6,5 - 12 - 13 - 16 - 18 - 20
شروط,2,4 - 19
شعبيته,1,20
شعروا,1,21
شعور,1,2
شفافة,1,15
شفرة,1,4
شك,3,12 - 14 - 18
شكل,9,1 - 3 - 4 - 8 - 12 - 13 - 15 - 16 - 20
شكلي,1,3
شملها,1,11
شموال,3,1 - 3 - 7
شمولا,1,20
شمولية,2,5 - 20
شهد,1,21
شهدت,1,2
شهدنا,1,20
شهر,1,21
شهري,1,20
شوغي,1,13
شيshi,1,4
شيء,6,1 - 3 - 4 - 12 - 13 - 14
شيئا,1,13
شيقا,1,3
شيلي,1,4
شيو,1,6
شيوعا,1,19
صادر,2,16 - 21
صارمة,1,2
صاغ,2,2 - 6
صاغه,1,4
صافرة,1,7
صالح,1,7
صح,1,18
صحة,1,20
صحتها,1,3
صحوة,1,2
صحيح,5,1 - 2 - 3 - 8 - 20
صحيحة,4,4 - 16 - 19 - 20
صحيفة,1,14
صعبا,2,4 - 11
صعوبات,1,11
صعوبة,2,2 - 11
صعود,2,8 - 21
صعيد,1,9
صغر,1,4
صغير,2,4 - 5
صغيرة,2,3 - 4
صفات,1,4
صقل,1,4
صلاحية,1,19
صلة,3,1 - 3 - 15
صمم,3,3 - 4 - 17
صممت,2,4 - 14
صموئيل,1,4
صميم,1,15
صناديق,2,13 - 15
صناع,1,7
صناعة,3,2 - 17 - 20
صناعي,2,17 - 20
صندوق,2,6 - 7
صنع,3,2 - 3 - 8
صنعوا,1,4
صنعوها,2,14 - 18
صنفت,1,11
صوت,2,15 - 17
صوتيين,1,17
صور,3,5 - 6 - 20
صورة,7,1 - 3 - 4 - 14 - 17 - 19 - 20
صوفيا,1,18
صياغة,2,8 - 13
صيف,1,2
صيفية,1,18
ضا,2,3 - 8
ضبطها,1,4
ضخمة,3,12 - 16 - 20
ضد,1,14
ضرورة,1,19
ضروري,1,14
ضعفها,1,4
ضعيف,1,8
ضمان,1,15
ضمن,6,7 - 10 - 11 - 12 - 13 - 18
ضوء,3,1 - 3 - 19
ضوابط,2,13 - 20
ضيق,1,20
ضيقا,1,19
طائرة,1,13
طاقة,1,13
طالب,1,19
طالبا,1,18
طالوس,1,4
طبقات,2,13 - 14
طبقة,2,13 - 14
طبقتين,1,14
طبيعة,3,2 - 14 - 21
طبيعية,2,4 - 21
طة,1,1
طرح,3,7 - 17 - 19
طرحها,1,19
طرق,2,15 - 21
طريق,8,1 - 2 - 3 - 4 - 5 - 6 - 17 - 18
طريقا,1,8
طريقة,8,1 - 3 - 4 - 8 - 13 - 14 - 17 - 21
طفل,1,4
طفيفا,1,10
طلب,1,20
طلبات,1,16
طهران,1,21
طوال,1,6
طور,2,4 - 6
طورت,1,18
طوره,1,13
طورها,1,21
طويال,1,8
طويل,2,2 - 10
طويلة,3,3 - 19 - 21
ظل,3,1 - 3 - 13
ظلت,1,3
ظهر,1,4
ظهرت,1,10
ظهور,2,1 - 3
عا,1,6
عائداتها,1,7
عائلة,1,20
عاتق,1,15
عادات,1,16
عادة,4,1 - 3 - 6 - 12
عادت,1,3
عادية,2,1 - 3
عاطلا,1,21
عاطلون,1,17
عال,2,3 - 16
عالقات,1,2
عالم,9,2 - 10 - 11 - 12 - 13 - 14 - 16 - 17 - 19
عالمات,1,4
عالمة,1,14
عالمنا,1,15
عالمي,2,13 - 15
عالميا,1,16
عالمية,1,15
عالي,1,19
عالية,7,2 - 7 - 9 - 10 - 13 - 19 - 20
عام,17,1 - 2 - 3 - 4 - 6 - 8 - 9 - 11 - 12 - 13 - 14 - 15 - 17 - 18 - 19 - 20 - 21
عاما,3,2 - 12 - 13
عامال,1,4
عامي,1,6
عانى,1,2
عبء,2,2 - 20
عبارة,3,12 - 16 - 20
عبدت,1,4
عبر,12,1 - 2 - 3 - 5 - 8 - 14 - 16 - 17 - 18 - 19 - 20 - 21
عبور,1,15
عت,1,2
عتاد,1,20
عد,1,1
عدة,5,1 - 2 - 3 - 4 - 5
عدد,15,1 - 2 - 3 - 4 - 7 - 8 - 9 - 10 - 14 - 15 - 16 - 17 - 18 - 20 - 21
عددا,5,1 - 3 - 4 - 16 - 19
عدل,1,4
عدلا,1,15
عدم,10,1 - 2 - 3 - 7 - 11 - 13 - 15 - 19 - 20 - 21
عدنا,1,1
عديد,1,1
عديدة,5,4 - 14 - 15 - 16 - 18
عرضه,1,19
عرف,2,1 - 3
عززت,2,4 - 19
عشرات,1,21
عشوائية,2,4 - 17
عصبونية,1,4
عصبية,5,3 - 8 - 13 - 14 - 17
عصرنا,2,1 - 15
عفا,1,8
عقال,1,2
عقب,1,12
عقبة,1,20
عقدة,1,13
عقدين,1,8
عقل,1,2
عقود,1,2
عقودا,1,12
عقول,1,8
عكس,6,2 - 3 - 4 - 6 - 8 - 14
علاقات,1,18
علاوة,1,15
علب,1,17
علقتهم,1,5
علما,2,4 - 18
علماء,4,1 - 8 - 11 - 14
علمي,1,8
علمية,2,2 - 3
علوم,8,1 - 2 - 3 - 4 - 5 - 6 - 8 - 14
علي,1,2
عليا,2,1 - 3
علينا,4,7 - 12 - 14 - 15
عليها,7,10 - 12 - 13 - 16 - 17 - 18 - 20
عليهم,1,12
عمره,1,12
عمق,1,14
عمقا,1,14
عمل,16,1 - 2 - 3 - 4 - 5 - 6 - 9 - 12 - 13 - 14 - 15 - 17 - 18 - 19 - 20 - 21
عملء,1,5
عملئها,1,5
عملائها,1,16
عملت,1,21
عملنا,2,15 - 21
عمله,2,13 - 18
عملها,2,12 - 18
عملهم,1,3
عملي,1,4
عمليات,7,1 - 3 - 6 - 11 - 13 - 17 - 19
عملية,8,2 - 4 - 6 - 8 - 13 - 18 - 19 - 20
عميق,1,2
عميل,2,16 - 20
عناصر,3,1 - 3 - 20
عناصره,1,3
عندئذ,1,19
عندما,8,1 - 3 - 4 - 12 - 14 - 15 - 17 - 18
عندنا,1,18
عندها,1,4
عنصر,3,6 - 19 - 20
عنه,4,1 - 3 - 4 - 20
عنها,5,1 - 3 - 4 - 15 - 18
عواقب,2,1 - 3
عواقبه,1,15
عوامل,4,1 - 2 - 3 - 20
عيب,1,21
عيش,1,16
عيوب,2,19 - 20
غاضبا,1,18
غالب,1,11
غامضة,1,14
غذ,1,1
غذاء,1,4
غرابة,2,1 - 3
غرار,2,3 - 17
غروسبيرغ,1,14
غريبة,1,12
غريزي,1,2
غضون,1,2
غموضا,2,13 - 14
غنية,1,20
غودل,1,2
غوغل,3,13 - 16 - 20
غولدمان,1,16
غويين,1,1
غي,1,3
غياب,3,4 - 19 - 20
غيرالمونوتوني,1,4
غيره,1,2
غيرها,4,2 - 4 - 10 - 20
غيرهم,1,10
غيض,1,14
غيغابايت,1,8
فأثار,1,7
فإنه,1,5
فإنها,2,8 - 20
فئات,2,1 - 3
فئاتها,1,4
فئة,4,1 - 3 - 4 - 13
فئتين,1,20
فائدة,1,4
فائقة,1,20
فادحة,1,2
فازي,1,14
فاقت,1,9
فالإجابات,1,18
فالتقطها,1,4
فالخوف,1,21
فالطلبة,1,19
فالمخ,1,14
فان,2,19 - 20
فاينانشال,1,14
فتركز,1,20
فتصبح,1,16
فتوصف,1,4
فجر,1,15
فحص,1,13
فدعونا,1,7
فدية,1,20
فذكائه,1,2
فرأينا,1,18
فرانك,1,4
فرانكشتينfrankenstein,1,4
فربوس,1,4
فردية,1,8
فرص,2,7 - 11
فرصا,1,15
فرصة,1,15
فرصته,3,2 - 3 - 17
فرض,1,21
فرضية,2,2 - 8
فرع,4,1 - 2 - 3 - 17
فرعي,2,1 - 3
فرعيا,1,18
فرعية,3,2 - 3 - 12
فرق,5,2 - 5 - 9 - 11 - 12
فرقة,1,20
فرقها,1,12
فريدة,1,12
فريدريش,1,4
فريق,2,12 - 13
فريقه,2,2 - 17
فريقهم,1,3
فسيتم,1,17
فشلوا,1,2
فصاعدا,1,15
فضاء,1,4
فضال,1,3
فضل,1,5
فطري,1,13
فعالة,3,11 - 12 - 21
فعالية,2,10 - 19
فعاليتها,1,17
فعلى,4,5 - 11 - 12 - 19
ففكرة,1,18
ففي,4,7 - 13 - 14 - 21
فقد,6,7 - 16 - 17 - 19 - 20 - 21
فقدان,1,13
فقط,7,4 - 8 - 11 - 13 - 15 - 18 - 19
فكان,1,17
فكر,2,3 - 17
فكرة,5,4 - 12 - 13 - 18 - 21
فكرية,3,3 - 8 - 17
فلسفيا,1,2
فلكي,2,1 - 3
فلكية,1,4
فلن,2,17 - 21
فلها,1,17
فمثال,1,3
فمثلا,1,17
فمع,1,14
فنا,1,4
فنجد,1,7
فندق,1,19
فه,1,1
فهذا,1,19
فهذه,1,13
فهم,7,5 - 8 - 9 - 13 - 14 - 18 - 21
فهمنا,4,13 - 14 - 20 - 21
فهمها,1,13
فهناك,2,4 - 21
فهنالك,2,19 - 20
فهو,3,5 - 20 - 21
فهي,9,1 - 2 - 3 - 4 - 8 - 12 - 18 - 19 - 20
فوائد,2,15 - 16
فوائده,1,8
فورا,1,13
فورد,1,21
فوفقا,2,17 - 19
فوكس,1,16
فولفغانغ,1,4
فون,1,4
فيتركز,1,19
فيتعين,1,7
فيحل,1,7
فيديوهات,1,20
فيرنور,1,4
فيسبوك,3,16 - 17 - 21
فيستاجر,1,16
فيض,1,14
فيغنبوم,1,3
فيقدم,1,19
فيكون,1,4
فيلم,1,4
فيمكنه,1,19
فينج,1,4
فيهم,1,16
قائلة,1,14
قائم,3,13 - 14 - 15
قائما,2,19 - 20
قائمة,2,8 - 16
قابلية,3,4 - 13 - 14
قادة,1,2
قادر,3,8 - 13 - 17
قادرا,5,1 - 3 - 4 - 16 - 21
قادرة,7,1 - 2 - 3 - 8 - 16 - 17 - 19
قاصرا,1,21
قاع,1,3
قاعدة,3,1 - 3 - 5
قال,4,8 - 11 - 13 - 16
قالت,2,14 - 16
قالوا,1,2
قاموا,1,2
قانون,3,2 - 4 - 13
قانوني,1,20
قبضة,2,1 - 3
قبول,1,15
قة,1,1
قدر,3,1 - 3 - 8
قدرات,6,2 - 3 - 8 - 16 - 19 - 21
قدراته,1,19
قدراتهم,1,21
قدرة,11,1 - 2 - 3 - 4 - 6 - 8 - 16 - 17 - 18 - 19 - 21
قدرتنا,1,13
قدرته,1,7
قدم,2,4 - 16
قدما,1,21
قدمها,2,3 - 4
قديمة,1,2
قراءة,3,1 - 3 - 21
قرار,1,4
قرارا,2,4 - 18
قرارات,2,6 - 16
قرض,1,20
قريبا,3,15 - 16 - 19
قسم,1,12
قسمتkismet,1,3
قصة,2,4 - 14
قصص,1,4
قصور,1,19
قصوى,2,1 - 3
قصيرة,1,1
قضايا,2,2 - 15
قطاع,2,16 - 17
قطاعات,1,16
قطعت,1,2
قفزات,1,20
قفزة,1,20
قلة,1,19
قلق,2,13 - 16
قليل,3,2 - 4 - 8
قليلا,1,11
قليلة,3,2 - 10 - 20
قنوات,1,11
قوائم,1,4
قواعد,4,3 - 4 - 8 - 21
قوانين,2,18 - 20
قوة,3,4 - 8 - 15
قوته,1,19
قوتها,1,4
قورن,1,4
قوله,1,7
قوى,1,4
قوي,2,12 - 17
قويا,2,1 - 3
قويان,1,16
قوية,4,2 - 4 - 8 - 13
قيادة,1,19
قياس,3,4 - 14 - 21
قياسها,1,3
قياسي,1,19
قيام,2,6 - 21
قيد,2,3 - 4
قيمة,7,1 - 4 - 5 - 8 - 11 - 12 - 14
قيمتها,1,17
ك2,1,10
كأب,1,16
كأسلوب,1,19
كأكثر,1,9
كأنها,1,4
كائن,1,8
كائنات,1,4
كابالن,1,2
كاتب,1,14
كاثرين,1,14
كاختبارات,1,4
كارفر,1,14
كارل,2,4 - 18
كارنيغي,2,2 - 3
كاشفا,1,14
كافية,1,4
كال,2,1 - 3
كالروبوتات,1,20
كالمان,1,4
كالمهن,1,21
كاليفورنيا,1,4
كامل,2,12 - 16
كاملا,1,15
كاملة,5,1 - 3 - 12 - 13 - 15
كانا,1,21
كانت,13,1 - 2 - 4 - 5 - 6 - 7 - 9 - 12 - 17 - 18 - 19 - 20 - 21
كانوا,1,3
كبرى,1,15
كبير,14,1 - 3 - 4 - 5 - 7 - 9 - 11 - 13 - 14 - 15 - 16 - 18 - 20 - 21
كبير19,1,2
كبيرا,5,1 - 3 - 4 - 9 - 19
كبيرة,9,5 - 6 - 9 - 16 - 17 - 18 - 19 - 20 - 21
كبيرتين,1,20
كتاب,2,4 - 21
كتابات,1,4
كتابة,5,1 - 3 - 13 - 14 - 20
كتابه,2,4 - 14
كتبت,1,4
كتبوا,1,2
كتلة,1,12
كثب,1,18
كثير,5,1 - 3 - 4 - 7 - 11
كثيرة,1,20
كحيوان,1,17
كخدمة,1,20
كرة,1,3
كرزويل,2,2 - 4
كرزويلkurzweil,1,4
كريت,1,4
كشف,1,10
كشفت,3,1 - 3 - 20
كعاملين,1,19
كفاءة,3,6 - 17 - 20
كفاءتها,1,10
كلمات,1,21
كلمة,3,1 - 3 - 18
كله,1,14
كلها,1,8
كليا,1,20
كلية,1,2
كمبلن149,1,4
كمجموعة,1,8
كمستفيد,1,15
كمشارك,1,15
كمعالج,1,21
كمعايير,1,2
كمفهوم,1,6
كموجة,1,8
كميا,1,6
كميات,4,1 - 3 - 6 - 20
كمية,2,17 - 20
كندا,1,17
كنظام,1,8
كنظرية,1,18
كوادريليون,1,8
كوالسكي,1,4
